T (K),k_parallel (W/m.K),k_perpendicular (W/m.K)
144.44444444444446,2.2403401866433366,1.2788207932341793
255.55555555555554,3.8076167979002626,2.0864970836978713
366.6666666666667,5.0479768153980755,2.769175853018373
477.77777777777777,5.980650627004958,3.3268571011956842
533.3333333333334,6.374873578302712,3.4999305920093327
811.1111111111111,7.307547389909595,4.047996646252552
1088.888888888889,7.692155147273258,4.249915718868475
1366.6666666666667,7.817152668416449,4.288376494604841
1644.4444444444443,7.769076698745991,4.249915718868475
1811.111111111111,7.769076698745991,4.249915718868475
