T (K),k (1.31569e-4 atm),k (1.31569e-3 atm),k (1.31569e-2 atm),k (1.31569e-1 atm),k (1 atm)
0.043609482,0.004672445,0.007268247,0.013498173,0.021285581,0.02422749
0.077251082,0.008998782,0.013671227,0.02422749,0.038417877,0.042917268
0.095006372,0.011421531,0.017132297,0.029765202,0.047070552,0.052781318
0.129893957,0.016440083,0.024054437,0.04101368,0.064722009,0.07216331
0.166339024,0.023016116,0.032014898,0.053127425,0.082373466,0.092410569
0.205276062,0.031322684,0.04101368,0.065933384,0.101063244,0.114042257
0.24670507,0.041878947,0.052781318,0.080815985,0.120964397,0.137058372
0.299659441,0.059530404,0.072509417,0.102620726,0.148479903,0.166477467
0.336104508,0.071990256,0.087738125,0.119233862,0.166477467,0.186724727
0.384697931,0.092237516,0.11023508,0.141730817,0.191224118,0.213721073
